pc_timestamp_ns,sender_ip,seq,timestamp_ms,acc_x_g,acc_y_g,acc_z_g
1781002794195049900,192.168.1.188,516455,5232241,0.9867,-0.0195,-0.2262
1781002794200599757,192.168.1.188,516456,5232251,2.0865,0.1638,0.1365
1781002794212246623,192.168.1.188,516457,5232261,1.2207,0.234,-0.0819
1781002794220714445,192.168.1.188,516458,5232271,0.9867,0.1755,-0.1131
1781002794233471217,192.168.1.188,516459,5232281,0.8385,-0.0312,-0.0936
1781002794240617572,192.168.1.188,516460,5232291,1.0296,0.1833,-0.0546
1781002794250537770,192.168.1.188,516461,5232301,1.0569,0.2769,-0.1092
1781002794262727930,192.168.1.188,516462,5232311,1.0374,0.1248,-0.1287
1781002794270760979,192.168.1.188,516463,5232321,1.053,0.2067,-0.1053
1781002794280523567,192.168.1.188,516464,5232331,0.9633,0.0975,-0.0936
1781002794295294149,192.168.1.188,516465,5232341,1.1154,0.1365,-0.0897
1781002794300933926,192.168.1.188,516466,5232351,0.8151,0.2223,-0.078
1781002794310550813,192.168.1.188,516467,5232361,1.1115,0.0507,-0.0585
1781002794320601472,192.168.1.188,516468,5232371,1.1349,0.0273,-0.2691
1781002794330590271,192.168.1.188,516469,5232381,0.8853,-0.2652,-0.156
1781002794340569370,192.168.1.188,516470,5232391,0.897,-0.1092,-0.0585
1781002794350803159,192.168.1.188,516471,5232401,0.5889,0.0234,-0.0273
1781002794360578457,192.168.1.188,516472,5232411,0.8814,0.3549,-0.0234
1781002794370804657,192.168.1.188,516473,5232421,1.0686,0.2145,-0.0624
1781002794380634225,192.168.1.188,516474,5232431,1.053,-0.0819,-0.1248
1781002794390841255,192.168.1.188,516475,5232441,0.9789,0.1248,-0.0429
1781002794400569852,192.168.1.188,516476,5232451,1.1037,0.1287,-0.078
1781002794410598231,192.168.1.188,516477,5232461,1.1388,0.2028,-0.1209
1781002794421878446,192.168.1.188,516478,5232471,0.9555,0.1599,-0.117
1781002794430588969,192.168.1.188,516479,5232481,0.9828,0.156,-0.0741
1781002794440509127,192.168.1.188,516480,5232491,1.0335,0.1521,-0.078
1781002794450584716,192.168.1.188,516481,5232501,0.936,0.1794,-0.1131
1781002794460519535,192.168.1.188,516482,5232511,1.17,0.234,-0.0741
1781002794472480783,192.168.1.188,516483,5232521,1.0179,-0.0195,-0.0936
1781002794480616053,192.168.1.188,516484,5232531,0.9516,-0.1131,-0.1911
1781002794490536311,192.168.1.188,516485,5232541,0.8502,-0.117,-0.2496
1781002794500485840,192.168.1.188,516486,5232551,0.7137,0.3315,-0.0741
1781002794510598239,192.168.1.188,516487,5232561,1.1076,0.0663,-0.0702
1781002794521992235,192.168.1.188,516488,5232571,1.2168,0.2886,-0.156
1781002794533293060,192.168.1.188,516489,5232581,0.9672,0.0741,-0.1404
1781002794541271999,192.168.1.188,516490,5232591,0.9087,0.0858,-0.078
1781002794553976171,192.168.1.188,516491,5232601,1.0023,0.1716,-0.0663
1781002794562888854,192.168.1.188,516492,5232611,1.0452,0.2223,-0.1092
1781002794570905973,192.168.1.188,516493,5232621,1.092,0.117,-0.1092
1781002794580489280,192.168.1.188,516494,5232631,0.975,0.1989,-0.0858
1781002794590571039,192.168.1.188,516495,5232641,0.9906,0.1794,-0.0858
1781002794600890630,192.168.1.188,516496,5232651,1.0608,0.0702,-0.117
1781002794613707422,192.168.1.188,516497,5232661,1.014,0.156,-0.1053
1781002794622073293,192.168.1.188,516498,5232671,0.9399,0.0897,-0.0975
1781002794630589084,192.168.1.188,516499,5232681,1.6302,-0.0546,-0.3198
1781002794640619354,192.168.1.188,516500,5232691,0.6201,0.0234,-0.2028
1781002794650518722,192.168.1.188,516501,5232701,0.8892,-0.156,-0.2184
1781002794660519400,192.168.1.188,516502,5232711,0.8658,-0.1092,-0.0546
1781002794672140707,192.168.1.188,516503,5232721,1.17,0.2535,-0.0546
1781002794681785224,192.168.1.188,516504,5232731,0.9984,0.0819,-0.0975
1781002794690538677,192.168.1.188,516505,5232741,0.9945,-0.1014,-0.0858
1781002794700652456,192.168.1.188,516506,5232751,0.9672,0.1872,-0.0624
1781002794711705250,192.168.1.188,516507,5232761,1.0218,0.2457,-0.0741
1781002794720519873,192.168.1.188,516508,5232771,1.1271,0.1755,-0.1248
1781002794730624682,192.168.1.188,516509,5232781,1.0023,0.1365,-0.0897
1781002794740655162,192.168.1.188,516510,5232791,1.0023,0.1326,-0.0741
1781002794750632840,192.168.1.188,516511,5232801,0.9867,0.1521,-0.0858
1781002794762074386,192.168.1.188,516512,5232811,1.1037,0.1053,-0.078
1781002794770648038,192.168.1.188,516513,5232821,1.1973,0.1794,-0.039
1781002794780733107,192.168.1.188,516514,5232831,1.1427,0.0936,-0.1131
1781002794790488435,192.168.1.188,516515,5232841,0.8151,-0.0078,-0.0702
1781002794800862165,192.168.1.188,516516,5232851,1.1388,-0.078,-0.1248
1781002794810555902,192.168.1.188,516517,5232861,0.4953,0.1755,-0.0429
1781002794820573161,192.168.1.188,516518,5232871,0.9321,0.1053,-0.0507
1781002794830609870,192.168.1.188,516519,5232881,1.1817,0.2535,-0.078
1781002794840563039,192.168.1.188,516520,5232891,1.1856,-0.0468,-0.1287
1781002794850545747,192.168.1.188,516521,5232901,0.8775,0.0039,-0.0741
1781002794863049079,192.168.1.188,516522,5232911,1.092,0.1365,-0.0507
1781002794870458545,192.168.1.188,516523,5232921,1.1076,0.2301,-0.1014
1781002794880717385,192.168.1.188,516524,5232931,1.0218,0.1716,-0.1053
1781002794890613543,192.168.1.188,516525,5232941,0.9399,0.195,-0.078
1781002794900480711,192.168.1.188,516526,5232951,1.0257,0.1092,-0.0897
1781002794910535890,192.168.1.188,516527,5232961,0.9945,0.1443,-0.1326
1781002794927085791,192.168.1.188,516528,5232971,1.053,0.1638,-0.1053
1781002794939375481,192.168.1.188,516529,5232981,1.0413,-0.0624,-0.1443
1781002794943288400,192.168.1.188,516530,5232991,1.4586,-0.1599,-0.0468
1781002794951774011,192.168.1.188,516531,5233001,0.5889,0.0546,-0.0702
1781002794960552884,192.168.1.188,516532,5233011,1.0764,-0.0351,-0.2145
1781002794970649484,192.168.1.188,516533,5233021,2.0475,0.078,0.0975
